rank_by_genome_burden	prn_event_id	mechanism_call	sample_count	sample_share_among_disrupted	country_count	origin_package_burden	origin_package_ids	major_recurrent_architecture	dominant_after_origin_collapse	validation_level	hard_anchor	supporting_read_or_public_longread	notes
1	prn_evt_coding_disrupted_is481__is481__gap1043	coding_disrupted_is481	370	0.641248	8	9	origin_0001;origin_0002;origin_0003;origin_0005;origin_0006;origin_0007;origin_0008;origin_0009;origin_0010	True	True	read_backed_supported	True	ismapper:IS481@1099682-1099688:F; panisa:IS481@1099683-1099688:NA	origin_collapse_uses_asr_defined_origin_packages_listedin_priority_origin_ids
2	prn_evt_rearrangement__within_contig__cov58	coding_disrupted_inversion_or_rearrangement	109	0.188908	4	3	origin_0002;origin_0004;origin_0008	True	False	read_backed_supported	True	ismapper:IS481@1099682-1099688:F; panisa:IS481@1099683-1099688:NA	origin_collapse_uses_asr_defined_origin_packages_listedin_priority_origin_ids
3	prn_evt_rearrangement__within_contig__cov91	coding_disrupted_inversion_or_rearrangement	65	0.112652	3	1	origin_0005	True	False	read_backed_supported	True	ismapper:IS481@1098329-1098335:R; panisa:IS481@1098330-1098335:NA	origin_collapse_uses_asr_defined_origin_packages_listedin_priority_origin_ids
4	prn_evt_other_disruption__insertion_like__gap1042	coding_disrupted_other	10	0.017331	2	0		False	False	read_backed_supported	True	ismapper:IS481@1099682-1099688:F; panisa:IS481@1099683-1099688:NA	origin_collapse_uses_asr_defined_origin_packages_listedin_priority_origin_ids
5	prn_evt_coding_disrupted_is481__is481__gap1042	coding_disrupted_is481	7	0.012132	1	0		False	False	public_longread_or_hybrid_assembly	True	GCA_027271095.1::PacBio Sequel II; Illumina MiSeq	origin_collapse_uses_asr_defined_origin_packages_listedin_priority_origin_ids
6	prn_evt_other_disruption__insertion_like__gap1041	coding_disrupted_other	4	0.006932	1	0		False	False	read_backed_supported	True	ismapper:IS1663@1096735-1097761:F; ismapper:IS481@1099682-1099688:F; panisa:IS481@1099683-1099688:NA	origin_collapse_uses_asr_defined_origin_packages_listedin_priority_origin_ids
7	prn_evt_coding_disrupted_is481__is481__gap1041	coding_disrupted_is481	3	0.005199	1	0		False	False	public_longread_or_hybrid_assembly	True	GCA_022407095.1::Oxford Nanopore; Illumina	origin_collapse_uses_asr_defined_origin_packages_listedin_priority_origin_ids
8	prn_evt_other_disruption__insertion_like__gap1040	coding_disrupted_other	3	0.005199	2	0		False	False	read_backed_supported	True	panisa:IS481@1099683-1099688:NA	origin_collapse_uses_asr_defined_origin_packages_listedin_priority_origin_ids
9	prn_evt_coding_disrupted_is481__is481__gap1045	coding_disrupted_is481	1	0.001733	0	1	origin_0005	False	False	assembly_only	False		origin_collapse_uses_asr_defined_origin_packages_listedin_priority_origin_ids
10	prn_evt_coding_disrupted_is481__is481__gap54	coding_disrupted_is481	1	0.001733	0	1	origin_0005	False	False	assembly_only	False		origin_collapse_uses_asr_defined_origin_packages_listedin_priority_origin_ids
11	prn_evt_other_disruption__insertion_like__gap204	coding_disrupted_other	1	0.001733	0	1	origin_0005	False	False	assembly_only	False		origin_collapse_uses_asr_defined_origin_packages_listedin_priority_origin_ids
12	prn_evt_other_disruption__insertion_like__gap1044	coding_disrupted_other	1	0.001733	1	0		False	False	read_validation_unresolved	False		origin_collapse_uses_asr_defined_origin_packages_listedin_priority_origin_ids
13	prn_evt_other_disruption__insertion_like__gap1045	coding_disrupted_other	1	0.001733	1	0		False	False	read_validation_unresolved	False		origin_collapse_uses_asr_defined_origin_packages_listedin_priority_origin_ids
14	prn_evt_rearrangement__within_contig__cov94	coding_disrupted_inversion_or_rearrangement	1	0.001733	1	0		False	False	public_longread_or_hybrid_assembly	True	GCA_002240475.1::PacBio RSII; Illumina MiSeq	origin_collapse_uses_asr_defined_origin_packages_listedin_priority_origin_ids
